algorithm,minrun,dataset_type,n,run_id,time_ms,comparisons,moves
MergeSort,NA,reversed,10000,0,3.0809,64630,133616
TimSort,16,reversed,10000,0,13.7686,185459,195413
TimSort,32,reversed,10000,0,13.3034,185688,196524
TimSort,64,reversed,10000,0,13.7904,187478,207394
TimSort,128,reversed,10000,0,13.3627,176971,262075
MergeSort,NA,reversed,10000,1,2.5008,64631,133616
TimSort,16,reversed,10000,1,15.282,244600,254537
TimSort,32,reversed,10000,1,16.0627,244967,255492
TimSort,64,reversed,10000,1,14.7612,247571,270133
TimSort,128,reversed,10000,1,13.8557,155321,297560
MergeSort,NA,reversed,10000,2,2.5034,64637,133616
TimSort,16,reversed,10000,2,14.3013,144197,163034
TimSort,32,reversed,10000,2,15.6436,144426,164176
TimSort,64,reversed,10000,2,15.6682,144498,171376
TimSort,128,reversed,10000,2,15.3854,149659,262898
MergeSort,NA,reversed,10000,3,2.5061,64632,133616
TimSort,16,reversed,10000,3,14.9764,214099,224310
TimSort,32,reversed,10000,3,14.6185,206137,217722
TimSort,64,reversed,10000,3,15.2341,208930,232574
TimSort,128,reversed,10000,3,13.8783,189977,298684
MergeSort,NA,reversed,10000,4,2.5278,64636,133616
TimSort,16,reversed,10000,4,19.0169,270493,280546
TimSort,32,reversed,10000,4,18.0542,267113,277948
TimSort,64,reversed,10000,4,16.8795,262260,284716
TimSort,128,reversed,10000,4,15.4329,204557,317993
MergeSort,NA,reversed,50000,0,14.1697,383310,784464
TimSort,16,reversed,50000,0,600.117,28719746,28788364
TimSort,32,reversed,50000,0,524.561,25274475,25475279
TimSort,64,reversed,50000,0,302.505,12563515,13425241
TimSort,128,reversed,50000,0,153.667,5357597,7844975
MergeSort,NA,reversed,50000,1,14.1277,383281,784464
TimSort,16,reversed,50000,1,575.914,27968419,28034869
TimSort,32,reversed,50000,1,585.485,24588524,24777716
TimSort,64,reversed,50000,1,379.725,15524673,16357616
TimSort,128,reversed,50000,1,214.142,8908646,11404409
MergeSort,NA,reversed,50000,2,14.2306,383341,784464
TimSort,16,reversed,50000,2,564.894,26190965,26309083
TimSort,32,reversed,50000,2,519.299,22572600,22827851
TimSort,64,reversed,50000,2,361.523,17119048,17961611
TimSort,128,reversed,50000,2,169.591,5678052,8194629
MergeSort,NA,reversed,50000,3,14.2841,383278,784464
TimSort,16,reversed,50000,3,551.571,27230949,27348896
TimSort,32,reversed,50000,3,552.231,24052335,24241655
TimSort,64,reversed,50000,3,433.909,16887511,17710226
TimSort,128,reversed,50000,3,199.914,7799236,10277731
MergeSort,NA,reversed,50000,4,17.3772,383331,784464
TimSort,16,reversed,50000,4,585.757,28675377,28744536
TimSort,32,reversed,50000,4,576.354,24883419,25081390
TimSort,64,reversed,50000,4,347.523,16136808,16958538
TimSort,128,reversed,50000,4,171.399,6114318,8558745
MergeSort,NA,reversed,100000,0,30.1943,818283,1668928
TimSort,16,reversed,100000,0,2237.4,113028666,113351276
TimSort,32,reversed,100000,0,1547.89,78984854,79851686
TimSort,64,reversed,100000,0,1174.98,55069621,57507457
TimSort,128,reversed,100000,0,859.633,39477602,45179854
MergeSort,NA,reversed,100000,1,37.9686,818263,1668928
TimSort,16,reversed,100000,1,4052.42,197824242,198044089
TimSort,32,reversed,100000,1,2659.23,133428646,134298146
TimSort,64,reversed,100000,1,1319,61220514,63654390
TimSort,128,reversed,100000,1,892.364,39475834,45239058
MergeSort,NA,reversed,100000,2,31.4322,818265,1668928
